_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
62,Fiscal Year 2012,UH Manoa,131001,Special Education,College of Education,Education,Special Education,,,Other,62
63,Fiscal Year 2012,Kapi`olani CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,47
64,Fiscal Year 2012,Honolulu CC,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Associate Degrees,23
65,Fiscal Year 2012,UH Manoa,260102,Biomedical Science,School of Medicine,School of Medicine,Biomedical Sciences,,,Master's Degrees,5
66,Fiscal Year 2012,UH Manoa,270101,"Mathematics, General",College of Arts & Sciences,Natural Sciences,Mathematics,,,Master's Degrees,4
67,Fiscal Year 2012,UH Manoa,160501,German,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,German,,Bachelor's Degrees,2
68,Fiscal Year 2012,UH Manoa,130101,"Education, General",College of Education,Education,Inst for Teacher Ed,Education,,Doctoral Degrees,22
69,Fiscal Year 2012,Kapi`olani CC,310505,Exercise & Sports Science,Career & Tech Ed,Health Services,Exercise and Sport Science,,,Associate Degrees,3
70,Fiscal Year 2012,UH Manoa,260503,Medical Micro & Bacteriology,School of Medicine,School of Medicine,Biomed Sci (Tropical Medicine),,,Master's Degrees,2
71,Fiscal Year 2012,UH Manoa,420101,"Psychology, General",College of Arts & Sciences,Social Sciences,Psychology,Psychology,,Doctoral Degrees,13
72,Fiscal Year 2012,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Master's Degrees,24
73,Fiscal Year 2012,Honolulu CC,470201,Refrigeration & Air Cond,Career & Tech Ed,Technology,Refrigeration & Air Cond Tech,,,Associate Degrees,19
74,Fiscal Year 2012,UH Manoa,260905,Biomed Sci (Reproductive Biol),School of Medicine,School of Medicine,Developmental & Reprod Biology,,,Master's Degrees,4
75,Fiscal Year 2012,UH Manoa,142401,Ocean & Resources Engineering,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Ocean & Res Eng,Ocean & Resources Engineering,,Master's Degrees,4
76,Fiscal Year 2012,Hawai`i CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Associate Degrees,11
77,Fiscal Year 2012,UH Hilo,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Computer Science,,,Bachelor's Degrees,9
78,Fiscal Year 2012,UH Manoa,190901,Fashion Des & Merchandising,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Family & Consumer Sci,Apparel Prod Dsgn & Merchandsg,,Bachelor's Degrees,23
79,Fiscal Year 2012,Hawai`i CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire Science,,,Certs of Achievement,2
80,Fiscal Year 2012,Honolulu CC,470201,Refrigeration & Air Cond,Career & Tech Ed,Technology,Refrigeration & Air Cond Tech,,,Certs of Achievement,3
81,Fiscal Year 2012,Maui College,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,9
82,Fiscal Year 2012,Maui College,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,,,Certs of Achievement,8
83,Fiscal Year 2012,Maui College,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Certs of Achievement,4
84,Fiscal Year 2012,Maui College,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Associate Degrees,4
85,Fiscal Year 2012,UH Manoa,011105,Plant & Environmtl Protect Sci,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Plant & Env Protect Sci,Plant & Environ Protection Sci,,Bachelor's Degrees,4
86,Fiscal Year 2012,UH Manoa,400601,Geology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Geology,Geology & Geophysics,,Doctoral Degrees,2
87,Fiscal Year 2012,UH Manoa,131101,Counseling & Guidance,College of Education,Education,Kinesiology & Rehab Sci,Counseling and Guidance,,Master's Degrees,8
88,Fiscal Year 2012,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Information Technology,,,Bachelor's Degrees,1
89,Fiscal Year 2012,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Food Service,,,Associate Degrees,1
90,Fiscal Year 2012,UH Hilo,161001,Am Ind/Nat Am Lang Lit Ling,Ka Haka Ula O Keelikolani,Hawaiian Lang & Lit,Hawn&Indigenous Lang&Cult Rev,,,Doctoral Degrees,1
91,Fiscal Year 2013,UH Manoa,400607,Oceanography,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Oceanography,Oceanography,,Doctoral Degrees,7
92,Fiscal Year 2013,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Information Technology,,,Bachelor's Degrees,15
93,Fiscal Year 2013,UH Hilo,261302,Marine Biology & Bio Ocean,College of Arts & Sciences,Natural Sciences,Marine Science,,,Bachelor's Degrees,33
94,Fiscal Year 2013,UH Manoa,040301,Urban & Regional Planning Prog,College of Arts & Sciences,Social Sciences,Urban & Reg Planning,Urban and Regional Planning,,Doctoral Degrees,1
95,Fiscal Year 2013,UH Hilo,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Bachelor's Degrees,42
96,Fiscal Year 2013,UH Manoa,160102,Linguistics,College of Arts & Sciences,"Lang, Ling & Lit",Linguistics,,,Doctoral Degrees,12
97,Fiscal Year 2013,UH Manoa,450201,Anthropology,College of Arts & Sciences,Social Sciences,Anthropology,,,Bachelor's Degrees,51
98,Fiscal Year 2013,UH Manoa,500701,Art,College of Arts & Sciences,Arts & Humanities,Art,Art,,Bachelor's Degrees,106
99,Fiscal Year 2013,Leeward CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,517
100,Fiscal Year 2013,UH Hilo,540101,History,College of Arts & Sciences,Social Sciences,History,,,Bachelor's Degrees,13
101,Fiscal Year 2013,Leeward CC,520201,"Business Admin & Mgmt, General",Career & Tech Ed,Business Education,Management,,,Associate Degrees,14
102,Fiscal Year 2013,UH Manoa,400601,Geology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Geology,Geology,,Bachelor's Degrees,3
103,Fiscal Year 2013,UH Manoa,160905,Spanish,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,Spanish,Spanish,Master's Degrees,4
104,Fiscal Year 2013,Hawai`i CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Associate Degrees,8
105,Fiscal Year 2013,UH Manoa,513808,Nursing Science,Schl of Nurs & Dental Hygiene,Nursing & Dental Hygiene,Professional Nursing,Nursing (PhD),,Doctoral Degrees,6
106,Fiscal Year 2013,UH Manoa,400601,Geology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Geology,Geology & Geophysics,,Doctoral Degrees,4
107,Fiscal Year 2013,UH Manoa,160901,French,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,French,French,Master's Degrees,6
108,Fiscal Year 2013,UH Manoa,260503,Medical Micro & Bacteriology,School of Medicine,School of Medicine,Biomed Sci (Tropical Medicine),,,Master's Degrees,3
109,Fiscal Year 2013,Maui College,520301,Accounting,Career & Tech Ed,Business Education,Accounting,,,Associate Degrees,18
110,Fiscal Year 2013,UH Hilo,240101,Liberal Arts,College of Arts & Sciences,Interdisciplinary Majors,Liberal Studies,,,Bachelor's Degrees,3
111,Fiscal Year 2014,UH Manoa,420101,"Psychology, General",College of Arts & Sciences,Social Sciences,Psychology,Psychology,,Bachelor's Degrees,202
112,Fiscal Year 2014,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Health Care Administration,,,Bachelor's Degrees,45
113,Fiscal Year 2014,UH Manoa,520903,Travel Industry Management,School of Travel Industry Mgt,Travel Industry Management,Travel Industry Management,,,Bachelor's Degrees,87
114,Fiscal Year 2014,UH Manoa,040201,Architecture,School of Architecture,School of Architecture,Architecture,,,Other,27
115,Fiscal Year 2014,UH Manoa,190499,Family Resources,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Family & Consumer Sci,Family Resources,,Bachelor's Degrees,83
116,Fiscal Year 2014,UH Manoa,540101,History,College of Arts & Sciences,Arts & Humanities,History,,,Bachelor's Degrees,46
117,Fiscal Year 2014,Kaua`i CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,58
118,Fiscal Year 2014,UH Hilo,301801,Natural Science,College of Arts & Sciences,Natural Sciences,Natural Science,,,Bachelor's Degrees,7
119,Fiscal Year 2014,Honolulu CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire & Envir Emergency Resp,,,Associate Degrees,22
120,Fiscal Year 2014,Leeward CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Certs of Achievement,18
121,Fiscal Year 2014,Leeward CC,520201,"Business Admin & Mgmt, General",Career & Tech Ed,Business Education,Management,,,Associate Degrees,21
122,Fiscal Year 2014,UH Manoa,169999,"Foreign Languages & Lit, Oth",Hawai`inuiakea Sch Hawn Knowledge,Hawaiian Language,Hawaiian,,,Bachelor's Degrees,31
123,Fiscal Year 2014,UH Manoa,050103,Asian Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Asian Studies,Asian Studies,,Bachelor's Degrees,14
124,Fiscal Year 2014,UH Hilo,430104,Criminal Justice Studies,College of Arts & Sciences,Social Sciences,Administration of Justice,,,Bachelor's Degrees,24
125,Fiscal Year 2014,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Master's Degrees,17
126,Fiscal Year 2014,UH Manoa,050103,Asian Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Asian Studies,Asian Studies,,Master's Degrees,15
127,Fiscal Year 2014,UH Manoa,260701,Zoology,College of Arts & Sciences,Natural Sciences,Zoology,,,Doctoral Degrees,2
128,Fiscal Year 2014,Kapi`olani CC,131501,Teacher Assistant/Aide,Career & Tech Ed,Public Services,Educational Paraprofessional,,,Associate Degrees,1
129,Fiscal Year 2014,Kaua`i CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Technology,,,Certs of Achievement,4
130,Fiscal Year 2014,Maui College,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Certs of Achievement,6
131,Fiscal Year 2014,Maui College,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,,,Certs of Achievement,4
132,Fiscal Year 2014,UH Hilo,400501,"Chemistry, General",College of Arts & Sciences,Natural Sciences,Chemistry,,,Bachelor's Degrees,6
133,Fiscal Year 2014,UH Hilo,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics,,,Bachelor's Degrees,3
134,Fiscal Year 2014,UH Manoa,011199,Plant & Environmental Biotech,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Plant & Environmental Biotech,,,Bachelor's Degrees,1
135,Fiscal Year 2014,Honolulu CC,440000,Adult Services,Career & Tech Ed,Public Services,Human Services,Human Services,,Associate Degrees,11
136,Fiscal Year 2014,UH Manoa,513818,Nursing Practice,Schl of Nurs & Dental Hygiene,Nursing & Dental Hygiene,Professional Nursing,Nursing Practice,,Other,1
137,Fiscal Year 2014,UH Manoa,260305,Plant Pathology,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Plant & Env Protect Sci,Tropical Plant Pathology,Tropical Plant Pathology,Doctoral Degrees,1
138,Fiscal Year 2014,UH Manoa,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Master's Degrees,1
139,Fiscal Year 2015,UH Manoa,420101,"Psychology, General",College of Arts & Sciences,Social Sciences,Psychology,Psychology,,Bachelor's Degrees,195
140,Fiscal Year 2015,UH Manoa,310505,Exercise & Sports Science,College of Education,Education,Kinesiology & Rehab Sci,"KRS, Hlth/Exer Sci & Lifest Mg",,Bachelor's Degrees,12
141,Fiscal Year 2015,UH Manoa,422806,Educational Psychology,College of Education,Education,Educational Psychology,,,Master's Degrees,12
142,Fiscal Year 2015,UH Hilo,500701,Art,College of Arts & Sciences,Arts & Humanities,Art,,,Bachelor's Degrees,14
143,Fiscal Year 2015,UH Hilo,520301,Accounting,Col of Business & Economics,Business & Economics,Accounting,,,Bachelor's Degrees,19
144,Fiscal Year 2015,Hawai`i CC,513901,Lic Practical/Voc Nurse Trng,Career & Tech Ed,Health Services,Nursing,Practical Nursing,,Certs of Achievement,7
145,Fiscal Year 2015,UH Manoa,380201,Religion,College of Arts & Sciences,Arts & Humanities,Religion,Religion,,Bachelor's Degrees,8
146,Fiscal Year 2015,UH Manoa,160302,Japanese,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Japanese,East Asian Lang & Lit-Japanese,Master's Degrees,6
147,Fiscal Year 2015,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Justice Administration,,,Bachelor's Degrees,23
148,Fiscal Year 2015,UH Manoa,131001,Special Education,College of Education,Education,Special Education,,,Master's Degrees,12
149,Fiscal Year 2015,UH Manoa,050102,American Studies,College of Arts & Sciences,Arts & Humanities,American Studies,American Studies,,Master's Degrees,4
150,Fiscal Year 2015,UH Manoa,040201,Architecture,School of Architecture,School of Architecture,Architecture,,,Other,32
151,Fiscal Year 2015,UH Manoa,451001,Political Science/Government,College of Arts & Sciences,Social Sciences,Political Science,,,Master's Degrees,10
152,Fiscal Year 2015,Leeward CC,520201,"Business Admin & Mgmt, General",Career & Tech Ed,Business Education,Management,,,Associate Degrees,12
153,Fiscal Year 2015,UH Manoa,230101,"English, General",College of Arts & Sciences,"Lang, Ling & Lit",English,,,Master's Degrees,5
154,Fiscal Year 2015,UH Hilo,500901,"Music, General",College of Arts & Sciences,Arts & Humanities,Performing Arts,Performing Arts,,Bachelor's Degrees,9
155,Fiscal Year 2015,Leeward CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Certs of Achievement,20
156,Fiscal Year 2015,Honolulu CC,150701,Occuptnl Environmtl Safety Mgt,Career & Tech Ed,Public Services,Occupational Envir Safety Mgt,,,Certs of Achievement,8
157,Fiscal Year 2015,Hawai`i CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Associate Degrees,7
158,Fiscal Year 2015,Honolulu CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Associate Degrees,9
159,Fiscal Year 2015,Hawai`i CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Associate Degrees,3
160,Fiscal Year 2015,Hawai`i CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,10
161,Fiscal Year 2015,Maui College,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Certs of Achievement,5
162,Fiscal Year 2015,Kaua`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,1
163,Fiscal Year 2015,Kaua`i CC,460302,Elec Install & Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Certs of Achievement,1
164,Fiscal Year 2015,Maui College,520799,"Entrep & Small Business, Other",Career & Tech Ed,Business Education,Applied Business & Information Tech,,,Bachelor's Degrees,5
165,Fiscal Year 2015,Maui College,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Associate Degrees,4
166,Fiscal Year 2015,Hawai`i CC,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Associate Degrees,8
167,Fiscal Year 2015,UH Manoa,422806,Educational Psychology,College of Education,Education,Educational Psychology,,,Doctoral Degrees,2
168,Fiscal Year 2015,Kapi`olani CC,131501,Teacher Assistant/Aide,Career & Tech Ed,Public Services,Educational Paraprofessional,,,Associate Degrees,2
169,Fiscal Year 2015,Maui College,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Certs of Achievement,1
170,Fiscal Year 2016,UH Hilo,520201,"Business Admin & Mgmt, General",Col of Business & Economics,Business & Economics,Business Administration,,,Bachelor's Degrees,37
171,Fiscal Year 2016,UH Manoa,440701,Social Work,School of Social Work,School of Social Work,Social Work,,,Master's Degrees,112
172,Fiscal Year 2016,UH Manoa,130901,Educational Foundations,College of Education,Education,Ed Foundations,Educational Foundations,,Master's Degrees,22
173,Fiscal Year 2016,Honolulu CC,110901,Computer Sys Netwrk & Telecom,Career & Tech Ed,Technology,Comp Elec & Net Tech,Comp Electronics & Network Tech,,Associate Degrees,37
174,Fiscal Year 2016,Kapi`olani CC,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,91
175,Fiscal Year 2016,UH Manoa,521001,Human Resource Management,College of Business Admin,Business Administration,Mgt & Industrial Rel,Human Resource Management,,Master's Degrees,62
176,Fiscal Year 2016,UH Manoa,141001,Electrical Engineering,College of Engineering,Engineering,Electrical Engineering,,,Master's Degrees,13
177,Fiscal Year 2016,UH Manoa,141901,Mechanical Engineering,College of Engineering,Engineering,Mechanical Engineering,,,Bachelor's Degrees,79
178,Fiscal Year 2016,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Arts & Humanities,Communicology,,,Bachelor's Degrees,43
179,Fiscal Year 2016,UH Manoa,160501,German,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,German,German,Bachelor's Degrees,9
180,Fiscal Year 2016,UH Manoa,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Information & Comp Sci,Computer Science,,Master's Degrees,6
181,Fiscal Year 2016,UH Manoa,160301,Chinese,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Chinese,East Asian Lang & Lit-Chinese,Master's Degrees,4
182,Fiscal Year 2016,Kaua`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,12
183,Fiscal Year 2016,UH Manoa,500301,Dance,College of Arts & Sciences,Arts & Humanities,Theater & Dance,Dance,,Master's Degrees,6
184,Fiscal Year 2016,UH Manoa,400201,Astronomy,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Astronomy,,Doctoral Degrees,5
185,Fiscal Year 2016,Honolulu CC,480506,Sheet Metal & Plastics,Career & Tech Ed,Technology,Sheet Metal & Plastics Tech,,,Certs of Achievement,3
186,Fiscal Year 2016,Honolulu CC,120401,Cosmetology,Career & Tech Ed,Technology,Cosmetology,,,Certs of Achievement,30
187,Fiscal Year 2016,Hawai`i CC,010301,Agriculture,Career & Tech Ed,Technology,Agriculture,,,Associate Degrees,4
188,Fiscal Year 2016,UH Manoa,140301,Agricultural Engineering,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Molecular Biosci & Bioeng,Molecular Bioscience & Bioengr,,Doctoral Degrees,4
189,Fiscal Year 2016,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,16
190,Fiscal Year 2016,Honolulu CC,150701,Occuptnl Environmtl Safety Mgt,Career & Tech Ed,Public Services,Occupational Envir Safety Mgt,,,Certs of Achievement,17
